"",ps,smoothed.percent.open,celltype,gene_peak
"932",0.63265306122449,4.91237573372474,alpha,FOSB_19:45970838-45971636
"933",0.653061224489796,4.96526522864875,alpha,FOSB_19:45970838-45971636
"934",0.673469387755102,5.02317587027425,alpha,FOSB_19:45970838-45971636
"935",0.693877551020408,5.0954182549082,alpha,FOSB_19:45970838-45971636
"936",0.714285714285714,5.19181235328505,alpha,FOSB_19:45970838-45971636
"937",0.73469387755102,5.3229900169208,alpha,FOSB_19:45970838-45971636
"938",0.755102040816326,5.49522380932139,alpha,FOSB_19:45970838-45971636
"939",0.775510204081633,5.66444169658762,alpha,FOSB_19:45970838-45971636
"940",0.795918367346939,5.83529147225227,alpha,FOSB_19:45970838-45971636
"941",0.816326530612245,6.03090256193504,alpha,FOSB_19:45970838-45971636
"942",0.836734693877551,6.2721532926476,alpha,FOSB_19:45970838-45971636
"943",0.857142857142857,6.53683224873476,alpha,FOSB_19:45970838-45971636
"944",0.877551020408163,6.82345339993971,alpha,FOSB_19:45970838-45971636
"945",0.897959183673469,7.14029315893543,alpha,FOSB_19:45970838-45971636
"946",0.918367346938775,7.49692046657326,alpha,FOSB_19:45970838-45971636
"947",0.938775510204082,7.90927228647544,alpha,FOSB_19:45970838-45971636
"948",0.959183673469388,8.38397638859063,alpha,FOSB_19:45970838-45971636
"949",0.979591836734694,8.91483233039398,alpha,FOSB_19:45970838-45971636
"950",1,9.49365455631347,alpha,FOSB_19:45970838-45971636
"951",0,2.91692275948762,beta,FOSB_19:45970838-45971636
"952",0.0204081632653061,2.96866941513376,beta,FOSB_19:45970838-45971636
"953",0.0408163265306122,3.01032968798302,beta,FOSB_19:45970838-45971636
"954",0.0612244897959184,3.04075201987678,beta,FOSB_19:45970838-45971636
"955",0.0816326530612245,3.05885017595108,beta,FOSB_19:45970838-45971636
"956",0.102040816326531,3.06363109504486,beta,FOSB_19:45970838-45971636
"957",0.122448979591837,3.05436367014037,beta,FOSB_19:45970838-45971636
"958",0.142857142857143,3.03184995822315,beta,FOSB_19:45970838-45971636
"959",0.163265306122449,2.9975598030021,beta,FOSB_19:45970838-45971636
"960",0.183673469387755,2.95303116657924,beta,FOSB_19:45970838-45971636
"961",0.204081632653061,2.89983185779498,beta,FOSB_19:45970838-45971636
"962",0.224489795918367,2.83190666730585,beta,FOSB_19:45970838-45971636
