"",motif,ps,zval,celltype,ps.scaled
"96",NEUROD1,20.013861207848,-1.75504338314086,alpha,0.95959595959596
"97",NEUROD1,20.2245334310885,-1.72684799953082,alpha,0.96969696969697
"98",NEUROD1,20.435205654329,-1.6979310141025,alpha,0.97979797979798
"99",NEUROD1,20.6458778775695,-1.66853296079532,alpha,0.98989898989899
"100",NEUROD1,20.85655010081,-1.63889437354872,alpha,1
"101",NEUROD1,0,1.72124185251216,beta,0
"102",NEUROD1,0.186793435555843,1.66482021429995,beta,0.0101010101010101
"103",NEUROD1,0.373586871111687,1.60848588054423,beta,0.0202020202020202
"104",NEUROD1,0.56038030666753,1.55232615570149,beta,0.0303030303030303
"105",NEUROD1,0.747173742223374,1.49642834422824,beta,0.0404040404040404
"106",NEUROD1,0.933967177779217,1.44087975058095,beta,0.0505050505050505
"107",NEUROD1,1.12076061333506,1.38576767921614,beta,0.0606060606060606
"108",NEUROD1,1.3075540488909,1.33117943459028,beta,0.0707070707070707
"109",NEUROD1,1.49434748444675,1.27720232115987,beta,0.0808080808080808
"110",NEUROD1,1.68114092000259,1.2239236433814,beta,0.0909090909090909
"111",NEUROD1,1.86793435555843,1.17143070571137,beta,0.101010101010101
"112",NEUROD1,2.05472779111428,1.11981081260627,beta,0.111111111111111
"113",NEUROD1,2.24152122667012,1.0691512685226,beta,0.121212121212121
"114",NEUROD1,2.42831466222596,1.01953937791684,beta,0.131313131313131
"115",NEUROD1,2.61510809778181,0.971062620020926,beta,0.141414141414141
"116",NEUROD1,2.80190153333765,0.923884945053017,beta,0.151515151515152
"117",NEUROD1,2.9886949688935,0.878366231366162,beta,0.161616161616162
"118",NEUROD1,3.17548840444934,0.834897294007447,beta,0.171717171717172
"119",NEUROD1,3.36228184000518,0.793868948023958,beta,0.181818181818182
"120",NEUROD1,3.54907527556103,0.755672008462781,beta,0.191919191919192
"121",NEUROD1,3.73586871111687,0.720697290371,beta,0.202020202020202
"122",NEUROD1,3.92266214667271,0.689335608795701,beta,0.212121212121212
"123",NEUROD1,4.10945558222856,0.66197777878397,beta,0.222222222222222
"124",NEUROD1,4.2962490177844,0.639014615382893,beta,0.232323232323232
"125",NEUROD1,4.48304245334024,0.620836933639554,beta,0.242424242424242
"126",NEUROD1,4.66983588889609,0.60783554860104,beta,0.252525252525253
"127",NEUROD1,4.85662932445193,0.600401275314435,beta,0.262626262626263
"128",NEUROD1,5.04342276000777,0.598771659536425,beta,0.272727272727273
