"",ps,smoothed.percent.open,celltype,gene,peak,avg.open
"1257",0.565656565656566,5.61823460289342,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1258",0.575757575757576,5.5673143708982,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1259",0.585858585858586,5.48391340607945,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1260",0.595959595959596,5.3742014836076,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1261",0.606060606060606,5.24437501996126,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1262",0.616161616161616,5.10045470468989,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1263",0.626262626262626,4.94813618661036,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1264",0.636363636363637,4.79269278332644,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1265",0.646464646464647,4.63892624296215,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1266",0.656565656565657,4.49115984290607,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1267",0.666666666666667,4.35326743787814,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1268",0.676767676767677,4.22873228848218,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1269",0.686868686868687,4.12073041987191,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1270",0.696969696969697,4.03223470958661,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1271",0.707070707070707,3.96613776328529,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1272",0.717171717171717,3.9253938517833,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1273",0.727272727272727,3.91318277672065,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1274",0.737373737373738,3.92392001944874,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1275",0.747474747474748,3.93295546337851,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1276",0.757575757575758,3.93904540377137,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1277",0.767676767676768,3.94263862073638,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1278",0.777777777777778,3.94418952276258,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1279",0.787878787878788,3.94415604876526,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1280",0.797979797979798,3.94299798554961,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1281",0.808080808080808,3.94117570842336,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1282",0.818181818181818,3.93914934887314,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1283",0.828282828282828,3.93737839049713,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1284",0.838383838383838,3.93632169277706,alpha,OLIG3,6:137814291-137815099,3.19038782399625
"1285",0.848484848484848,3.93643794177647,alpha,OLIG3,6:137814291-137815099,3.19038782399625
