"",beta,delta,alpha,gamma,immune,stellate,endothelial,ductal,acinar
ZEB1,0.995216507583474,0.989459226759906,1,0.991219253233411,0.798627199673306,0,0.45609883922984,0.957255331040172,0.999165196518764
TCF4,0.950665778051797,0.952017152498557,1,0.938977540672596,0.767479633066015,0,0.434879306657432,0.850435834249554,0.958114576956464
TCF3,0.954814782401824,0.969867360996028,1,0.967693440298342,0.763315299895386,0,0.472267558761703,0.852238821557485,0.945201298493901
SNAI2,0.947800973186635,0.987353068162467,1,0.968858538249652,0.785840550853138,0,0.460689247353929,0.824955279362282,0.931260546605857
ID4,0.981628460523275,0.983772890701125,1,0.958672003396286,0.793222384575963,0,0.453233018341167,0.836215307330085,0.950120535201015
Ascl2,1,0.869384355902736,0.765732970800499,0.767458676944327,0.577638063750266,0,0.148316962792483,0.308927262882652,0.364828921392735
ASCL1,1,0.902715157590148,0.815978488032431,0.878387626758259,0.600405236885566,0,0.128573101577155,0.459939328147862,0.631829735654755
Myod1,1,0.918655306862116,0.864006734252761,0.859269401109982,0.610082843715455,0,0.192466871840667,0.467619974910672,0.604033153021169
Foxa2,0.821172611799576,0.604917078264022,1,0.967408828482519,0.5068390013749,0,0.345521630276125,0.562553786060314,0.670300870624919
FOXA1,0.819182846751048,0.648646641361729,1,0.97498361046049,0.639548865098096,0,0.375571018931879,0.563125124216081,0.719519525020597
FOXC2,0.765058466831664,0.374534770393021,1,0.933968074453899,0.397239966874852,0,0.441168013603699,0.532540325128859,0.837085242613592
FOXB1,0.680194743543753,0.478997771915376,1,0.851087571404126,0.566353176570703,0,0.398752020400835,0.44232701332049,0.669128797314149
FOXC1,0.677852863417158,0.36318028750229,1,0.856601746748124,0.475985592572125,0,0.301401554269438,0.35644081887026,0.635909383090633
NFYB,0.022533546017816,0.204501527470503,0.204561987012941,0,0.267722583298375,1,0.999841643087969,0.388369253837981,0.641424402697841
NFYA,0,0.191745581491466,0.260017853446015,0.0502453963796365,0.367271753289096,0.825412462661669,1,0.309856158568042,0.553218823920381
ETV6,0,0.180250342529115,0.150733270997982,0.250439309537474,0.52761170708793,0.582894648886433,1,0.470185825714395,0.396999930763462
ETV2,0,0.151063624647827,0.116832481804092,0.237053274903191,0.308394041001058,0.508041804847843,1,0.345758585613375,0.287371632730844
